slug,buckets,notes
the-world-is-hard-to-change,Research,"AI-suggested, user-approved 2026-05-20"
the-case-for-optimism,Research;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
new-york-city-crime-beyond-the-numbers,Crime data,"AI-suggested, user-approved 2026-05-20"
what-la-guardia-gave-new-york,Politics,"AI-suggested, user-approved 2026-05-20"
how-the-jail-population-can-be-reduced-safely,Rikers & jails;Crime data,"AI-suggested, user-approved 2026-05-20"
could-our-jails-be-a-civic-asset,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
how-long-people-stay-is-the-problem,Rikers & jails;Criminal courts,"AI-suggested, user-approved 2026-05-20"
a-brief-history-of-the-3300-target,Rikers & jails;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
whats-the-plan,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
the-perils-and-necessity-of-jail-population-forecasting,Rikers & jails;Crime data,"AI-suggested, user-approved 2026-05-20"
strengthening-supervised-release,Criminal courts;Rikers & jails,"AI-suggested, user-approved 2026-05-20"
new-york-needs-more-than-3300-jail-beds,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
what-jail-population-projections-tell-you-about-a-governments-aspirations,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
five-myths-about-mayoral-control,Governance;Youth,"AI-suggested, user-approved 2026-05-20"
maricopas-slap-at-alvin-bragg-plays-politics-with-peoples-lives,Criminal courts;Politics,"AI-suggested, user-approved 2026-05-20"
all-crime-is-local-and-solutions-must-be-too,Crime data;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
what-crime-stats-fail-to-show,Crime data,"AI-suggested, user-approved 2026-05-20"
crime-perceptions-and-reality-in-new-york,Crime data,"AI-suggested, user-approved 2026-05-20"
forecasting-new-york-city-crime-in-2024,Crime data,"AI-suggested, user-approved 2026-05-20"
two-big-thoughts-about-the-steep-crime-drop,Crime data,"AI-suggested, user-approved 2026-05-20"
homicide-life-in-the-stats,Crime data,"AI-suggested, user-approved 2026-05-20"
a-safer-city-and-nation-with-asterisks,Crime data,"AI-suggested, user-approved 2026-05-20"
taking-control-of-new-yorks-budgetary-future,Governance,user-confirmed
why-family-court-cant-be-saved,Criminal courts;Youth,"AI-suggested, user-approved 2026-05-20"
is-family-court-worth-saving,Criminal courts,"AI-suggested, user-approved 2026-05-20"
history-of-opioids-in-new-york-city,Drugs,"AI-suggested, user-approved 2026-05-20"
the-explosion-of-online-drug-marketplaces,Drugs,"AI-suggested, user-approved 2026-05-20"
how-new-york-can-learn-from-the-tobacco-settlement,Drugs,"AI-suggested, user-approved 2026-05-20"
learning-from-decriminalization-portland-and-portugal,Drugs;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
the-public-square-issue-6,Drugs,"AI-suggested, user-approved 2026-05-20"
the-marijuana-reset-new-york-needs,Drugs,"AI-suggested, user-approved 2026-05-20"
the-real-reason-the-weed-market-is-broken,Drugs,"AI-suggested, user-approved 2026-05-20"
putting-the-humility-back-in-harm-reduction,Drugs,"AI-suggested, user-approved 2026-05-20"
harm-reduction-save-lives,Drugs,"AI-suggested, user-approved 2026-05-20"
paving-pathways-to-recovery-for-all,Drugs,"AI-suggested, user-approved 2026-05-20"
the-drug-war-without-cops,Drugs;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
the-good-substances-do,Drugs,"AI-suggested, user-approved 2026-05-20"
e-bike-fires-in-new-york-city,Public safety strategy;Housing,"AI-suggested, user-approved 2026-05-20"
are-nycs-jails-ungovernable-opening-remarks,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
fixing-new-york-citys-jails-a-federal-receiver-closing-remarks,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
fixing-new-york-citys-jails-a-federal-receiver-remarks,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
unraveling-the-threads-of-americas-gun-culture,Guns,"AI-suggested, user-approved 2026-05-20"
a-one-city-solution,Other,"AI-suggested, user-approved 2026-05-20"
stuck-on-utopia-parkway,Other,"AI-suggested, user-approved 2026-05-20"
what-police-can-do-differently-to-save-lives,Policing;Guns,"AI-suggested, user-approved 2026-05-20"
police-management-matters-a-lot,Policing;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
treat-every-shooting-like-a-homicide,Guns;Crime data,"AI-suggested, user-approved 2026-05-20"
what-the-numbers-miss-about-gun-crimes,Crime data,"AI-suggested, user-approved 2026-05-20"
when-city-streets-really-are-war-zones,Crime data;Guns,"AI-suggested, user-approved 2026-05-20"
making-a-federal-case-out-of-a-local-shooting,Criminal courts;Guns,"AI-suggested, user-approved 2026-05-20"
police-neglect-and-why-many-young-black-men-carry-guns,Guns;Policing;Race,"AI-suggested, user-approved 2026-05-20"
teach-officers-how-to-listen,Policing;Guns,"AI-suggested, user-approved 2026-05-20"
a-window-into-new-york-citys-pulgueras,Economy,"AI-suggested, user-approved 2026-05-20"
where-vital-city-is-headed,Public safety strategy,"AI-suggested, user-approved 2026-05-20"
age-diversity-in-cities-and-neighborhoods,Public space,"AI-suggested, user-approved 2026-05-20"
half-a-century-of-criminal-justice-reform,Criminal courts;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
the-possibilities-and-limitations-of-a-receivership-in-nyc-jails,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
michael-oppenheimer-mark-chambers-interview,Climate,"AI-suggested, user-approved 2026-05-20"
why-pools-matter,Public space,"AI-suggested, user-approved 2026-05-20"
the-urban-history-of-ice-cream,Other,"AI-suggested, user-approved 2026-05-20"
envisioning-car-free-streets,Public space,"AI-suggested, user-approved 2026-05-20"
new-york-handles-garbage-all-wrong,Public space,"AI-suggested, user-approved 2026-05-20"
eating-out-a-photo-essay,Public space,"AI-suggested, user-approved 2026-05-20"
building-diverse-schools-in-changing-neighborhoods,Youth;Housing,"AI-suggested, user-approved 2026-05-20"
rikers-hearing-june-2023,Rikers & jails;Criminal courts,"AI-suggested, user-approved 2026-05-20"
dante-ross-and-the-golden-age-of-hip-hop,Culture,"AI-suggested, user-approved 2026-05-20"
public-safety-and-mental-health,Mental illness;Subway;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
invest-in-libraries,Economy;Governance,"AI-suggested, user-approved 2026-05-20"
why-the-citys-jails-are-broken,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
sic-the-parking-police-on-the-nypd,Policing;Cars,"AI-suggested, user-approved 2026-05-20"
parking-placard-and-license-plate-arrogance,Cars;Policing,"AI-suggested, user-approved 2026-05-20"
lessons-for-criminal-justice-reformers,Public safety strategy;Research,"AI-suggested, user-approved 2026-05-20"
twenty-strategies-for-reducing-crime-in-cities,Public safety strategy,"AI-suggested, user-approved 2026-05-20"
how-new-yorks-bail-laws-look-from-the-bench,Criminal courts,"AI-suggested, user-approved 2026-05-20"
the-role-of-self-control-in-preventing-crime,Public safety strategy,"AI-suggested, user-approved 2026-05-20"
daniel-penny-jordan-neely-and-all-of-us-in-between,Subway;Mental illness;Crisis response,"AI-suggested, user-approved 2026-05-20"
maintaining-the-built-environment,Housing;Governance,"AI-suggested, user-approved 2026-05-20"
how-third-places-promote-cohesion,Public space;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
elijah-anderson-interview,Race,"AI-suggested, user-approved 2026-05-20"
rethinking-libraries-in-a-digital-age,Public space,"AI-suggested, user-approved 2026-05-20"
slash-poverty-and-the-rest-will-get-easier,Public safety strategy;Research,"AI-suggested, user-approved 2026-05-20"
the-stains-of-redlining,Race;Housing,"AI-suggested, user-approved 2026-05-20"
poverty-disadvantage-and-violence,Crime data;Research,"AI-suggested, user-approved 2026-05-20"
more-non-profits-fewer-crimes,Public safety strategy,"AI-suggested, user-approved 2026-05-20"
the-evolution-of-flatbush,Housing;Public space,"AI-suggested, user-approved 2026-05-20"
pickup-basketball,Public space,"AI-suggested, user-approved 2026-05-20"
robert-sampson-interview,Research;Crime data,"AI-suggested, user-approved 2026-05-20"
measures-of-urban-vitality,Other,"AI-suggested, user-approved 2026-05-20"
the-public-square-march-2023,Public space;Politics,"AI-suggested, user-approved 2026-05-20"
placekeeping-in-brownsville,Public space;Youth,"AI-suggested, user-approved 2026-05-20"
brownsville-and-bay-ridge,Crime data;Housing;Public space,"AI-suggested, user-approved 2026-05-20"
poverty-disadvantage-and-violence-an-iron-link,Crime data;Race,"AI-suggested, user-approved 2026-05-20"
rat-control-in-urban-environments,Public space,"AI-suggested, user-approved 2026-05-20"
crime-in-2022-and-2023-a-symposium,Crime data;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
act-now-or-expect-more-of-the-same,Crime data;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
2023-crime-trends,Crime data,"AI-suggested, user-approved 2026-05-20"
please-stop-blaming-bail-reform,Crime data,"AI-suggested, user-approved 2026-05-20"
approaches-to-crime-in-the-bronx-2023,Criminal courts;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
our-tragically-shortsighted-crime-debate,Public safety strategy;Crime data,"AI-suggested, user-approved 2026-05-20"
black-market-brooklyn,Drugs;Governance,"AI-suggested, user-approved 2026-05-20"
new-york-stilled-life-feral-city-review,Public space,"AI-suggested, user-approved 2026-05-20"
making-new-york-city-pools-accessible-to-all,Public space,"AI-suggested, user-approved 2026-05-20"
rikers-captives-review,Rikers & jails,"AI-suggested, user-approved 2026-05-20"
the-city-is-my-lover,Other,"AI-suggested, user-approved 2026-05-20"
long-crisis-review,Other,"AI-suggested, user-approved 2026-05-20"
the-victim-card,Crime data;Politics,"AI-suggested, user-approved 2026-05-20"
ghosts-of-deinstitutionalization,Mental illness;Crisis response,"AI-suggested, user-approved 2026-05-20"
straight-line-crazy-review,Public space,"AI-suggested, user-approved 2026-05-20"
connecting-communities-through-design,Public safety strategy;Public space,"AI-suggested, user-approved 2026-05-20"
crime-and-the-built-environment,Public space;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
policings-hidden-curriculum,Public safety strategy;Crime data,"AI-suggested, user-approved 2026-05-20"
the-public-square,Disorder;Crime data,"AI-suggested, user-approved 2026-05-20"
law-enforcement-and-legitimacy,Policing;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
subway-disorder,Subway;Policing,"AI-suggested, user-approved 2026-05-20"
tables-and-chairs,Public space,"AI-suggested, user-approved 2026-05-20"
police-become-government,Policing;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
public-space-design-and-safety,Public space,"AI-suggested, user-approved 2026-05-20"
beyond-enforcement,Disorder;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
peter-moskos-oral-history-times-square,Disorder;Public space,"AI-suggested, user-approved 2026-05-20"
federal-transitional-administrator-juvenile-detention-cook-county,Rikers & jails;Youth,"AI-suggested, user-approved 2026-05-20"
what-is-a-receiver,Criminal courts,"AI-suggested, user-approved 2026-05-20"
vital-city-issue-1,Guns,"AI-suggested, user-approved 2026-05-20"
welcome-to-vital-city,Public safety strategy,"AI-suggested, user-approved 2026-05-20"
already-in-the-trap-young-new-yorkers,Guns;Research,"AI-suggested, user-approved 2026-05-20"
gun-violence-debates,Guns;Crime data,"AI-suggested, user-approved 2026-05-20"
violence-and-urban-inequality,Crime data;Race,"AI-suggested, user-approved 2026-05-20"
mobilizing-the-public-reimagining-public-safety,Policing;Guns,"AI-suggested, user-approved 2026-05-20"
balancing-deterrence-and-prevention-the-role-of-research,Public safety strategy;Research,"AI-suggested, user-approved 2026-05-20"
weighing-the-impacts-of-policing,Public safety strategy;Crime data,"AI-suggested, user-approved 2026-05-20"
special-report-on-rikers,Rikers & jails;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
public-safety-and-mental-health,Mental illness;Subway,strip Public Safety Strategy per user
daniel-penny-jordan-neely-and-all-of-us-in-between,Subway;Mental illness,strip Crisis response per user
what-can-we-do-about-shoplifting-a-new-urban-plague,Shoplifting,new domain
nyc-public-bathrooms-mamdani-plan,Governance;Public space,
how-tokyo-built-clean-accessible-toilets-nyc-wants,Governance;Public space;Subway,
children-domestic-violence-acs-family-court,Youth;Domestic violence,new domain
system-coordination-in-crisis-response-to-high-acuity-homelessness,Homelessness;Mental illness;Crisis response,
will-we-ever-swim-in-the-east-river,Public space,
an-antidemocratic-approach-to-democratic-governance,Governance;Nonprofits,new domain
waymo-nyc-robotaxi-future,Technology;Cars,"AI-suggested, user-approved 2026-05-20"
pedestrian-foot-tracking-nyc-map-model-mit,Public space;Research,"AI-suggested, user-approved 2026-05-20"
london-low-traffic-neighborhoods-safety-urban-planning,Cars;Public space,"AI-suggested, user-approved 2026-05-20"
erin-dalton-data-driven-social-services-nyc,Homelessness,"AI-suggested, user-approved 2026-05-20"
hochul-nuclear-energy-climate-new-york,Climate,"AI-suggested, user-approved 2026-05-20"
waymo-robotaxi-autonomous-driving-nyc,Cars,"AI-suggested, user-approved 2026-05-20"
mamdani-local-law-97-enforcement-pollution,Climate,"AI-suggested, user-approved 2026-05-20"
a-safer-cheaper-quicker-way-of-daylighting-intersections,Public space;Cars,"AI-suggested, user-approved 2026-05-20"
taking-mamdanis-revolution-to-the-streets,Public space;Cars,"AI-suggested, user-approved 2026-05-20"
how-new-york-city-got-to-the-brink-of-hosting-vegas-style-casinos,Economy;Governance,"AI-suggested, user-approved 2026-05-20"
what-mamdani-gets-wrong-about-severe-mental-illness-and-crisis-response,Mental illness;Crisis response;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
mamdani-department-of-community-safety-where-theory-meets-practice,Crisis response;Mental illness,"AI-suggested, user-approved 2026-05-20"
how-about-energy-affordability-for-new-york-city,Economy;Governance,"AI-suggested, user-approved 2026-05-20"
the-devil-is-in-the-details-of-911-dispatch,Crisis response;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
a-budget-crash-course-for-zohran-mamdani,Governance,"AI-suggested, user-approved 2026-05-20"
safe-only-at-certain-speeds,Cars;Public space,"AI-suggested, user-approved 2026-05-20"
congestion-pricing-across-america,Cars,"AI-suggested, user-approved 2026-05-20"
if-free-buses-arent-wise-what-about-cheaper-citi-bikes,Buses;Economy,"AI-suggested, user-approved 2026-05-20"
new-york-city-isnt-ready-for-the-trump-stress-test,Politics;Federal policy,"AI-suggested, user-approved 2026-05-20"
want-to-fix-the-subway-stop-asking-it-to-be-something-its-not,Subway;Homelessness,"AI-suggested, user-approved 2026-05-20"
artificial-intelligence-and-the-nonprofit-sector,Nonprofits,"AI-suggested, user-approved 2026-05-20"
congestion-pricing-to-the-rescue,Cars;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
how-will-congestion-pricing-actually-work,Cars,"AI-suggested, user-approved 2026-05-20"
congestion-pricings-belated-lesson,Cars,"AI-suggested, user-approved 2026-05-20"
on-overdose-prevention-centers-listen-to-community-complaints,Drugs;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
what-kind-of-nypd-commissioner-do-we-need,Policing,"AI-suggested, user-approved 2026-05-20"
reimagining-the-street-and-subways-platforms-new-york-city,Subway;Public space,"AI-suggested, user-approved 2026-05-20"
the-congestion-pricing-meltdown-and-its-aftermath,Cars,"AI-suggested, user-approved 2026-05-20"
what-new-yorks-subway-system-can-learn-from-cities-around-the-world,Subway,"AI-suggested, user-approved 2026-05-20"
should-new-york-city-have-free-fares-for-better-and-worse,Subway;Buses;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
bring-vision-to-hochuls-mental-health-plans,Mental illness,"AI-suggested, user-approved 2026-05-20"
beware-of-potholes,Cars;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
risks-outside-the-zone,Cars;Race,"AI-suggested, user-approved 2026-05-20"
offer-riders-a-better-deal,Cars;Buses;Subway,"AI-suggested, user-approved 2026-05-20"
serve-the-walkers,Public space;Cars,"AI-suggested, user-approved 2026-05-20"
build-better-for-bicyclists,Public space;Cars,"AI-suggested, user-approved 2026-05-20"
is-transformational-change-the-only-thing-that-matters,Public safety strategy;Research,"AI-suggested, user-approved 2026-05-20"
welcome-to-oz-a-look-behind-the-government-curtain,Governance;Research,"AI-suggested, user-approved 2026-05-20"
humanize-every-incarcerated-person,Rikers & jails;Mental illness,"AI-suggested, user-approved 2026-05-20"
people-with-serious-mental-illness-need-housing-not-jail,Mental illness;Rikers & jails,"AI-suggested, user-approved 2026-05-20"
improving-new-york-public-transit-for-less,Buses;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
responding-to-troubled-men-on-the-street,Crisis response;Mental illness,"AI-suggested, user-approved 2026-05-20"
the-public-square-issue-4,Disorder;Crime data,"AI-suggested, user-approved 2026-05-20"
resisting-the-asylums-pull,Mental illness;Public safety strategy,"AI-suggested, user-approved 2026-05-20"
why-it-costs-4-billion-per-mile-of-subway-track,Subway;Governance,"AI-suggested, user-approved 2026-05-20"
sunday-in-the-park,Public space;Culture,"AI-suggested, user-approved 2026-05-20"
lorem-ipsum,Rikers & jails;Crime data,"AI-suggested, user-approved 2026-05-20"
stemming-violence-investing-in-civic-goods,Public safety strategy;Youth,"AI-suggested, user-approved 2026-05-20"
the-failures-of-alcohol-regulation,Drugs,
six-meaningful-long-term-city-budget-cuts,Governance,user-confirmed
truth-in-budgeting-asap,Governance,user-confirmed
japan-rail-system-lessons-mta-nj-transit,Subway,round-3 cleanup
new-york-city-needs-a-two-track-mind,Subway;Housing,round-3 cleanup
what-to-do-about-people-in-crisis-on-streets-and-subways,Homelessness;Mental illness;Crisis response,round-3 cleanup
how-the-system-works-for-people-in-crisis-on-streets-and-subways,Homelessness;Mental illness;Crisis response,round-3 cleanup
what-the-data-show-people-in-crisis-on-the-streets-and-subways,Homelessness;Mental illness;Crisis response,round-3 cleanup
editors-note-megalopolis-subway-where-romance-and-reality-meet,Subway,round-3 cleanup
improving-carceral-care,Rikers & jails,round-3 cleanup
eric-klinenberg-interview,Public space,round-3 cleanup
sam-rivera-interview,Drugs,round-3 cleanup
margaret-haney-interview,Drugs,round-3 cleanup
what-we-are-reading-issue-6,Drugs,round-3 cleanup
are-nycs-jails-ungovernable,Rikers & jails,round-3 cleanup
mta-new-app-subway-omny,Subway,round-3 cleanup
2025-a-look-back-most-read,Other,round-3 cleanup
a-conversation-with-mta-chairman-and-ceo-janno-lieber,Subway;Governance,round-3 cleanup
what-were-reading-fall-2024,Subway,round-3 cleanup
a-conversation-with-former-new-york-city-transit-presidents-sarah-feinberg-and-richard-davey,Subway,interview with former NYCT presidents
robert-sampson-adam-gopnik-interview-transcript,Crime data,removed from Data
real-crime-numbers-nyc-nypd,Crime data,removed from Data
jennifer-doleac-book-review,Research,removed from Data
crime-in-new-york-city-trends-statistics,Crime data,removed from Data
youth-crime-in-new-york-after-raise-the-age,Crime data;Youth,removed from Data
reality-check-how-safe-are-manhattan-and-brooklyn,Crime data,removed from Data
reality-check-whos-the-guard-really-guarding-in-us-cities,Crime data;Policing,removed from Data
what-new-yorkers-should-know-about-nypd-staffing,Crime data;Policing,removed from Data
the-state-of-crime-in-new-york-city-at-midyear-2025,Crime data,removed from Data
the-state-of-new-york-citys-jails-year-end-2024,Crime data;Rikers & jails,removed from Data
the-nypds-2025-strategy-a-conversation-with-michael-lipetri,Policing,removed from Data
vital-signs-state-of-the-city-on-crime-2024,Crime data,removed from Data
conditions-inside-the-citys-jails-continue-to-be-violent-a-data-story,Crime data;Rikers & jails,removed from Data
the-state-of-new-york-citys-jails-mid-2024,Crime data;Rikers & jails,removed from Data
the-state-of-crime-in-new-york-city-at-midyear-2024,Crime data,removed from Data
what-we-are-reading-issue-8,Other,removed from Data
how-were-really-doing,Crime data;Governance,removed from Data
does-evidence-matter-in-policy-making,Research,removed from Data
the-research-that-changed-my-thinking,Research,removed from Data
who-gets-locked-up-and-why-a-data-story,Crime data;Rikers & jails,removed from Data
the-citys-jails-the-crises-in-numbers,Crime data;Rikers & jails,removed from Data
drugs-in-new-york-city-by-the-numbers,Drugs;Crime data,removed from Data
fixing-new-york-citys-jails-a-federal-receiver-opening,Rikers & jails,removed from Data
what-the-numbers-tell-us-about-gun-crimes,Guns;Crime data,removed from Data
in-summery,Crime data,removed from Data
vital-signs-march-2023,Crime data,removed from Data
state-of-the-jails-january-2023,Crime data;Rikers & jails,removed from Data
gun-violence-in-new-york-city-the-data,Guns;Crime data,removed from Data
vital-signs-crime-and-justice-in-new-york-city,Crime data,removed from Data
state-of-the-jails-november-2022,Crime data;Rikers & jails,removed from Data
issue-2-data-story,Crime data,removed from Data
