approve,slug,title,date,current_buckets,suggested_buckets,suggested_article_type,confidence,rationale,tags
yes,what-you-can-do-about-trump,What You Can Do About Trump,2025-04-29,Politics;Economy;Governance,Politics,article,high,"A civic-advice piece about political action and electoral engagement in response to Trump's presidency; purely political in scope, not about NYC public safety or governance.","Politics, Where Do We Go From Here?, Journalism, Government Operations"
yes,is-it-time-for-cities-to-go-it-alone,Is It Time for Cities to Go It Alone?,2025-04-29,Governance;Politics,Politics,article,high,"This is a piece about federal-local political conflict, Trump's anti-urban posture, and the strategic independence of cities—core political economy/governance concerns, but the dominant framing is electoral and political rather than operational city management.","Where Do We Go From Here?, City Government, Politics"
yes,holding-the-center-vital-city-at-three,Holding the Center,2025-04-17,Governance,Politics,editors_note,high,"This is Vital City's third-anniversary statement reflecting on democratic institutions and governance philosophy — an editorial voice piece, not a news article — centered on political leadership and the erosion of institutional norms.","City Government, Setting the Stage"
yes,why-does-everything-cost-so-much,Why Does Everything Cost So Much?,2025-04-16,Economy;Governance,Economy,article,high,"Squarely about cost of living, housing affordability, and economic conditions in NYC; governance framing is secondary to the economic analysis.","Economics, Quality of Life"
yes,how-starbucks-and-other-coffee-shops-spark-entrepreneurship,How Starbucks (and Other Coffee Shops) Spark Entrepreneurship,2025-04-16,Culture;Race,Economy,article,high,"The piece examines how third-place social spaces (coffee shops) catalyze entrepreneurship and economic development in neighborhoods, making Economy the primary domain.","History, Inequality"
yes,echoes-of-1977-shape-2025-mayoral-politics-in-new-york,Echoes of 1977 Shape 2025 Mayoral Politics in New York,2025-04-09,Culture;Politics,Politics,article,high,"Historical analysis of how public safety perceptions shaped past and present mayoral elections; fundamentally about electoral politics and voter coalitions, not public safety policy itself.","History, Politics"
yes,new-yorks-new-subway-map,"From Point A to Point Q, and Beyond",2025-04-09,Culture;Transit,Subway,article,high,"A design and history review of NYC subway maps is fundamentally about the subway system itself, not culture or general history.","History, Transit"
yes,is-there-any-path-to-victory-for-eric-adams-as-an-independent,Is There Any Path to Victory for Eric Adams as an Independent?,2025-04-04,Politics;Governance,Politics,article,high,"Electoral analysis of mayoral candidacy and campaign viability; clearly a Politics piece about electoral math and strategy, not governance operations.","Politics, City Government"
yes,can-new-york-still-build-transformative-infrastructure,Can New York Still Build Transformative Infrastructure?,2025-03-20,Housing;Culture,Governance,article,medium,"A book review examining political/regulatory impediments to large infrastructure projects; primarily a governance piece about decision-making and consensus-building, though housing is tangential.","City Planning, History"
yes,migrants-give-more-than-they-take-to-new-york-citys-economy,"Mayor Adams, Don’t Sell Out New York City’s Economy",2025-03-12,Governance,Economy;Immigration,article,high,"Piece centers on fiscal impact of asylum seekers on NYC's economy and wages, with immigration policy as secondary framing; the core argument is economic, not political or about deportation per se.","Government Operations, Corruption"
yes,andrew-cuomo-sees-a-city-in-crisis-do-new-york-voters,Andrew Cuomo Sees a City in Crisis. Do Voters?,2025-03-06,Politics;Governance,Politics,article,high,"This is a piece about electoral politics and a mayoral campaign announcement; while it references crime/safety rhetoric, the article's core subject is Cuomo's political positioning and candidacy.","Politics, City Government"
yes,editors-note-what-role-should-nonprofits-play-in-cities,What Role Should Nonprofits Play in Cities?,2025-03-04,Governance;Data,Governance,editors_note,high,"This is an editor's note examining the relationship between city government and nonprofit institutions—a core governance piece about institutional accountability and power structures, not data or methodology.","Historical Lessons, City Government, Social Science"
yes,alexis-de-tocqueville-and-the-art-of-association,Alexis de Tocqueville and the Art of Association,2025-03-04,Culture,Other,article,medium,A reflective essay on Tocqueville's ideas about civil associations and their relevance to the modern nonprofit sector—intellectual/historical commentary that doesn't fit Vital City's core public-safety and urban-policy domains.,"Historical Lessons, culture, History"
yes,nonprofits-and-the-city,A Short History of Urban Nonprofits,2025-03-04,Culture,Other,article,high,"A historical essay on the origins and development of urban nonprofits as civic institutions—neither a policy analysis of a specific NYC public safety or governance challenge, nor a data/research methodology piece.","Historical Lessons, culture, History"
yes,the-paradox-of-nonprofit-trustworthiness,The Paradox of Nonprofit Trustworthiness,2025-03-04,Culture;Data,Other,article,medium,A historical analysis of nonprofit sector trust and accountability that doesn't fit cleanly into Ted's public-safety-focused domains; tangentially related to governance but primarily a broader social/institutional piece.,"culture, Historical Lessons, History, Social Science"
yes,the-enduring-power-of-poverty-pimps,The Enduring Power of ‘Poverty Pimps’,2025-03-04,Data;Race,Economy;Race,article,medium,"Historical analysis of War on Poverty programs and the 'poverty pimp' critique; spans economic policy and racial/community dimensions, but doesn't fit cleanly into Ted's public-safety-focused taxonomy.","Historical Lessons, Social Science, Inequality"
yes,how-the-nonprofit-sector-fails-low-income-communities,How the Nonprofit Sector Fails Communities,2025-03-04,Politics;Data,Other,article,high,"A systemic critique of nonprofit sector incentives and funding practices—not about a specific NYC public safety, transit, housing, or governance policy.","The Great Debate, Nonprofit Sector, Social Science"
yes,the-permanent-government-of-new-york-how-the-public-and-nonprofit-sectors-strengthen-the-city,The Permanent Government of New York,2025-03-03,Governance;Politics,Governance,article,high,"This is an insider essay about how public and nonprofit sectors interact structurally and culturally—a core governance piece about institutional dynamics, not electoral politics or a specific policy domain.","The Great Debate, City Government, Nonprofit Management"
yes,rethinking-the-role-of-nonprofits-in-progressive-politics,Rethinking the Role of Nonprofits in Progressive Policy and Urban Governance,2025-03-03,Culture;Governance,Governance;Politics,article,high,"The piece examines the structural role of nonprofits in urban governance and Democratic political strategy, with electoral/political implications as its core argument.","culture, City Government, The Great Debate"
yes,the-trump-administration-poses-a-real-threat-to-nonprofits-in-new-york-and-beyond,Winter Is Coming,2025-03-03,Data;Governance,Governance,article,medium,"Policy analysis of federal funding threats to NYC nonprofits under Trump administration; primarily about government operations and funding mechanisms, though it touches multiple service domains (homelessness, housing, health) without deep dive into any single one.","The Great Debate, Social Science, Government Operations"
yes,service-delivery-is-not-enough-advocacy-should-be-central-to-every-nonprofit,Service Delivery Is Not Enough,2025-03-03,Other;Governance;Politics,Governance,article,medium,"Opinion/analysis piece about nonprofit advocacy's role in policymaking and budget negotiations; primarily a governance/institutional critique, not specific to a public safety sub-domain.","Currents, Government Operations, Nonprofits"
yes,mbas-for-the-public-good-does-getting-a-masters-degree-make-sense-for-nonprofit-professionals,‘MBAs for the Public Good’?,2025-03-03,Other;Youth;Governance,Other,article,high,A personal essay about the value and ROI of graduate degrees (MPAs/MBAs) for nonprofit careers; doesn't map to any of Ted's civic-policy domains.,"Currents, Education, Government Operations"
yes,charter-schools-at-the-crossroads,Charter Schools at the Crossroads,2025-03-03,Other;Youth;Governance,Youth,article,high,This is fundamentally about education policy and student outcomes; Youth is the appropriate domain for K–12 education pieces in Ted's taxonomy.,"Currents, Education, Government Operations"
yes,in-defense-of-social-justice-upheaval-at-nonprofits,In Defense of Social Justice Upheaval,2025-03-03,Other;Culture;Data,Other,article,medium,"A reflective essay on leadership, organizational culture, and generational divides in social justice work—not primarily about NYC policy domains, though it touches on criminal justice infrastructure.","Currents, culture, Social Science"
yes,why-trumps-attempt-to-kill-congestion-pricing-must-fail,Why Trump’s Attempt to Kill Congestion Pricing Must Fail,2025-02-27,Housing;Governance,Traffic enforcement,article,high,"This is a legal/policy analysis of congestion pricing—a traffic enforcement mechanism—not a transit piece; the focus is on the tolling program's legality and effectiveness, not on subway/bus operations.","City Planning, Government Operations"
yes,whats-to-become-of-eric-adams-administration-now,The Hollow City Hall,2025-02-18,Governance,Governance;Politics,article,high,Piece analyzes the collapse of Adams' administration and deputy mayor exodus as a governance and political crisis stemming from his alleged deal with Trump on deportations.,"Government Operations, Corruption"
yes,how-urban-progressives-became-their-own-worst-enemy-lessons-from-new-york,How Urban Progressives Became Their Own Worst Enemy,2025-02-18,Politics;Governance,Politics,article,medium,Book excerpt on progressive governance philosophy and public-sector dysfunction; topical but more broadly political/ideological than NYC-policy-specific.,"Politics, Government Operations"
yes,big-cities-bigger-integrity-problems,"Big Cities, Bigger Integrity Problems",2025-02-11,Governance;Economy,Politics,article,high,"This is a governance-accountability piece focused on corruption, mayoral integrity, and electoral/political systems—core Politics domain, not the generic Governance catch-all.","The Causes, Corruption, Journalism"
yes,whats-race-got-to-do-with-mayor-adams-corruption-scandal,What’s Race Got to Do With It?,2025-02-11,Governance;Race,Politics;Race,article,high,"Examines Eric Adams' corruption charges through the lens of racial disparities in enforcement and standards applied to Black political leaders—a politics and race intersection piece, not primarily about governance machinery.","Governance, Race, Corruption, What It Looks Like Up Close"
yes,how-corrupt-is-new-york-anyway,"How Corrupt Is New York, Anyway?",2025-02-11,Governance,Politics,article,high,"This is an analytical piece about corruption in NYC government and electoral politics, centered on the Adams administration's legal troubles and their impact on the mayoral race—a classic Politics domain fit.","What It Looks Like Up Close, Corruption, Government Operations"
yes,casinos-bring-the-rot-why-gambling-is-fertile-ground-for-corruption,Casinos Bring the Rot,2025-02-11,Governance;Culture,Governance;Politics,article,high,"A policy analysis of corruption risks in casino regulation, centered on government accountability and political decision-making around licensing.","What It Looks Like Up Close, Corruption, History"
yes,the-mayor-and-new-york-city-held-hostage-by-the-trump-administration,The Mayor and New York City Held Hostage,2025-02-11,Politics;Governance,Politics,article,high,Opinion piece on Eric Adams' federal case dismissal and its political implications for mayoral governance and the Trump-Adams relationship.,"What It Looks Like Up Close, Politics, Government Operations"
yes,when-the-cure-for-corruption-is-worse-than-the-disease,When the Cure Is Worse Than the Disease,2025-02-10,Governance;Housing,Governance,article,high,This is fundamentally about the trade-offs between anti-corruption regulation and efficient government operations—a core governance question—using transit/infrastructure as the illustrative case study.,"The Upside — Yes, Really, Corruption, City Planning"
yes,tammany-through-clear-eyes,"Tammany, Through Clear Eyes",2025-02-10,Culture;Governance,Politics,article,high,Historical analysis of political machine governance and its electoral/reform legacy; invoked as context for modern NYC political corruption.,"The Upside — Yes, Really, History, Government Operations"
yes,lessons-about-corruption-from-the-history-of-garbage,"Dirtier Politics, Cleaner Streets?",2025-02-10,Governance;Criminal courts,Politics,article,high,"Piece analyzes corruption in local government and its systemic role in governance—electoral/political context, not criminal prosecution.","The Upside — Yes, Really, Corruption, Justice"
yes,how-hong-kong-emerged-from-the-swamp,How Hong Kong Emerged From the Swamp,2025-02-10,Governance;Culture,Governance,article,high,A historical case study of anti-corruption institutional reform and leadership commitment—core governance subject matter with no NYC-specific public safety angle.,"Cleanup on Aisle 10, Corruption, History"
yes,government-should-harness-the-power-of-ai-to-combat-corruption-while-preserving-managerial-discretion,"Artificial Intelligence, Actual Integrity",2025-02-10,Governance;Criminal courts,Governance,article,high,"A policy-focused piece about using AI to combat municipal corruption and improve government operations, not about criminal prosecution of specific cases.","Cleanup on Aisle 10, Corruption, Prosecution"
yes,running-for-nyc-mayor-through-a-fog,Running for NYC Mayor Through a Fog,2025-02-06,Politics;Governance,Politics,article,high,Electoral analysis of NYC mayoral race dynamics and candidate positioning—core political coverage with no public safety or governance operations focus.,"Politics, Government Operations"
yes,just-the-facts-on-new-york-city-subway-crime,Just the Facts on New York City Subway Crime,2025-01-31,Data;Crime,Crime Data;Subway,article,high,Data-driven analysis of 18 years of subway crime trends and statistics—straightforward Crime Data piece with Subway domain.,"data, Subway Crime, Subway Safety Stories"
yes,training-ai-to-make-cities-more-humane,Jane Jacobs 2.0: Training AI to Make Cities More Humane,2025-01-30,Data;Housing;Economy,Public Space,article,high,"Core subject is analysis of how people use public plazas and urban gathering spaces, directly aligned with Public Space domain.","data, Place, City Planning, Technology"
yes,crime-on-the-ground-and-how-its-experienced,Crime on the Ground — and How It’s Experienced,2025-01-22,Governance;Disorder,Crime Data;Politics,article,high,"Core piece analyzing crime statistics (FBI UCR, NCVS data) and public perception divergence; the politics angle is secondary but real—partisan narratives about crime prevalence in 2024.","Crime, Government Operations, Disorder"
yes,crime-in-context-locally-and-nationally,"Crime in Context, Locally and Nationally",2025-01-22,Data;Crime;Governance,Crime Data,editors_note,high,"This is an editor's synthesis/reflection piece introducing year-end crime-trend commentary, not a standalone article; the focus is analyzing crime statistics and patterns.","What Do We Know?, Crime, Policymakers"
yes,crime-data-is-better-will-americans-pay-attention,Crime Data Is Better. Will Americans Pay Attention?,2025-01-22,Data;Disorder,Crime Data,article,high,"The piece is fundamentally about crime statistics collection, data availability, and public trust in crime data—not disorder itself, which was a misapplied tag.","data, Crime, Disorder, Statistics"
yes,community-violence-intervention-at-a-crossroads,Community Violence Intervention at a Crossroads,2025-01-22,Guns;Criminal courts,Community Violence Intervention,article,high,"This is a state-of-the-field piece about CVI programs, their history, scaling efforts, and current challenges — squarely within the CVI domain; Criminal courts and Guns are Ghost's over-tagging.","Where We Go From Here, Gun Violence, Justice"
yes,clustering-of-gun-violence-the-problem-that-wont-go-away,Clustering of Gun Violence: The Problem That Won’t Go Away,2025-01-22,Data;Guns,Crime Data;Guns,article,high,"Data-driven analysis of shooting statistics and geographic clustering patterns, with policy implications for gun violence reduction.","What Do We Know?, Gun Violence, Crime"
yes,fix-the-subway-not-society,"Fix the Subway, Not Society",2025-01-22,Crime;Culture,Subway;Crime Data,article,high,"Historical analysis of subway crime patterns and policing responses comparing 1964–65 to 2024, grounded in crime statistics and enforcement strategy.","Where We Go From Here, Subway Crime, History"
yes,on-fear-itself-worry-about-crime-has-taken-on-a-life-of-its-own,On Fear Itself,2025-01-22,Politics;Data;Disorder,Crime Data;Politics,article,high,"The piece analyzes the disconnect between public fear of crime and actual crime trends (Crime Data), while examining how political messaging exploits that fear to influence elections (Politics).","Crime, Politics, Social Science, Disorder"
yes,what-can-we-do-about-shoplifting-a-new-urban-plague,The Stubbornness of Sticky Fingers,2025-01-22,Crime;Economy,Crime;Public Space,article,medium,"Core subject is shoplifting (Crime), but the piece's real concern is retail erosion and the death of walkable urban neighborhoods (Public Space), making it a dual-domain piece about crime's effect on the urban realm.","Where We Go From Here, Crime, Technology"
yes,the-bronxs-crime-crisis,The Bronx’s Crime Crisis,2025-01-22,Data;Guns,Crime Data,article,high,"This is a data-driven analysis of crime statistics and trends in the Bronx, comparing year-over-year and multi-year crime figures across the city.","What Do We Know?, Gun Violence, Crime"
yes,broken-windows-politics-disorder-still-matters,Broken Windows Politics,2025-01-22,Policing;Criminal courts;Disorder,Disorder;Public Safety Strategy,article,high,"This is a policy analysis piece about disorder's political salience and progressive prosecutors' electoral losses, centered on broken windows theory and voter perception of antisocial behavior—not criminal courts or prosecution mechanics.","Broken Windows, Crime, Prosecution, Disorder"
yes,the-recovery-from-covid-19-pandemic-gun-violence,The Recovery From COVID-19 Pandemic Gun Violence,2025-01-22,Data;Guns,Crime Data;Guns,article,high,Research-driven analysis of gun violence trends across US cities using longitudinal data; belongs in both Crime Data and Guns domains.,"What Do We Know?, Gun Violence, Crime"
yes,toward-a-new-discipline-macro-criminology,Toward a New Discipline: Macro-Criminology,2025-01-22,Crime;Data,Crime Data;Research,article,high,"Theoretical framework piece about crime statistics and disciplinary methodology, bridging data analysis with research methodology—not about a specific policy or crime type.","Where We Go From Here, Crime, Social Science"
yes,a-new-yorker-mourns-the-conflagrations-engulfing-los-angeles,The Fires This Time,2025-01-14,Culture;Housing,Other,article,medium,"A reflective essay about Los Angeles fires and urban design philosophy; not NYC-focused public safety or policy analysis, so defaults to Other despite architecture/culture themes.","culture, History, City Planning"
yes,new-york-too-much-of-an-undocumented-immigrant-sanctuary-or-not-enough,"New York: Too Much of an Undocumented Immigrant Sanctuary, Or Not Enough?",2025-01-10,Crime;Immigration,Immigration;Politics,article,high,"The piece examines mayoral and City Council policy positions on immigrant sanctuary protections and deportation cooperation—a politically fraught debate between Democratic leaders, not a criminal-justice or crime-focused story.","Crime, Immigration"
yes,the-problem-with-the-criminal-legal-system,The Problem with the ‘Criminal Legal System’,2025-01-02,Culture;Economy,Other,article,medium,"Opinion piece on terminology and messaging strategy in criminal justice discourse, not substantive policy or crime data—neither fits Ted's domains well.","culture, Journalism"
yes,what-has-become-of-hip-hop-landmarks-in-new-york-city,"Once Hotbeds of Hip-Hop, Now Forgotten Spaces",2025-01-02,Culture,Culture;Public Space,article,high,A reflective essay about forgotten hip-hop venues and their physical/urban legacy—primarily cultural history but grounded in the disappearance of specific public spaces in NYC.,"culture, Music & Entertainment, History"
yes,for-new-york-city-crime-trends-a-good-month,"For New York City Crime Trends, A Good Month",2024-12-20,Data;Crime;Governance,Crime Data,article,high,This is a crime statistics and trend analysis piece examining recent NYC crime declines and their possible drivers.,"data, Crime, Government Operations"
yes,can-eric-adams-really-win-a-second-term,Can Adams Really Win a Second Term?,2024-12-17,Politics;Governance,Politics,article,high,"Electoral analysis of a mayoral candidacy; Politics covers elections and electoral viability, not governance operations.","Politics, Government Operations"
yes,the-local-government-staffers-we-need-and-deserve,The Local Government Staffers We Need and Deserve,2024-12-05,Governance;Economy,Governance,article,high,"This is a piece about municipal workforce management, bureaucratic efficiency, and data systems to improve city administration—core governance issues, not economy-focused.","Governance, City Government, Technology"
yes,child-welfare-agencies-should-only-pull-children-from-their-parents-as-a-last-resort,A Child is Dead. The City Must Respond the Right Way.,2024-11-27,Health & human services;Criminal courts,Youth;Health & human services,article,medium,"Primarily about child welfare policy and system reform in response to a child death; criminal prosecution is secondary context, not the policy focus.","Child Welfare, Prosecution"
yes,the-false-promise-of-police-crackdowns-in-new-york-city-roosevelt-island-queens-corridor,The False Promise of Police Crackdowns in New York City,2024-11-26,Policing;Governance,Public Safety Strategy;Policing,article,high,"The piece critiques a specific police enforcement operation as ineffective public safety policy, contrasting reactive crackdowns with data-driven strategy—squarely in Public Safety Strategy with a Policing component.","Police Reform, Quality of Life"
yes,how-does-the-empire-state-strike-back-how-new-york-answers-a-restive-electorate,How Does the Empire State Strike Back?,2024-11-26,Governance,Politics,article,high,"Electoral analysis and Democratic Party strategy in response to Trump's victory and voter realignment — core political commentary, not governance per se.","City Government, State Government"
yes,congestion-pricing-2-tolling-cars-to-enter-central-manhattan-remains-hugely-worthwhile,How Congestion Pricing 2.0 Will Work on the Ground,2024-11-15,Governance;Transit,Traffic enforcement;Transit,article,high,"Congestion pricing is a traffic enforcement / demand-management tool that directly funds transit capital, making it fundamentally about both domains.","Government Operations, Transportation"
yes,why-new-yorkers-in-poverty-need-city-of-yes,Why New Yorkers in Poverty Need City of Yes,2024-11-14,Housing;Governance,Housing,article,high,"Clear policy argument about zoning reform and housing production to address affordability for low-income New Yorkers; Governance tag is secondary framing, not the substantive focus.","Housing, City Government"
yes,calling-real-leaders-the-2025-new-york-city-mayoral-race-is-underway,Calling Real Leaders,2024-11-13,Politics;Governance,Politics,article,high,"Electoral commentary on the 2025 NYC mayoral race, candidates, and voting dynamics—core political analysis, not governance operations.","Politics, Government Operations"
yes,the-truth-about-youth-crime-rates-in-nyc,Are the Kids All Right? The Truth About Youth Crime in NYC,2024-11-07,Data;Youth;Crime,Crime Data;Youth,article,high,"Data-driven analysis of youth crime trends in NYC, examining statistics and challenging media narratives about Raise the Age.","data, Youth, Crime"
yes,movement-new-yorks-long-war-to-take-back-its-streets-from-the-car-excerpt,"If the Trains Don’t Move, Nobody Moves: The Legacy of the NYC Transit Strike of 1966",2024-11-06,Culture;Transit,Subway;Buses,article,high,"Historical account of the 1966 NYC transit strike and its lasting impact on subway and bus policy; explicitly about transit labor and infrastructure, not culture or governance broadly.","culture, History, Transit"
yes,why-opponents-should-say-yes-to-city-of-yes,Why Opponents Should Say Yes to City of Yes,2024-10-22,Governance;Housing,Housing;Politics,article,high,"Substantive policy argument about zoning reform (City of Yes) framed around housing affordability, segregation, and fair housing law—anchored in Housing but with clear Political stakes (Council vote, legal/electoral consequences).","City Government, Housing"
yes,in-praise-of-a-new-manifesto-for-cities,Urbane Means Humane,2024-10-17,Culture;Housing,Public Space,article,medium,"A manifesto-style essay on urbanism, urban design, and city planning as a framework for livability and climate resilience; falls under Public Space rather than the over-applied Culture tag.","culture, History, City Planning"
yes,in-these-streets-reporting-from-the-front-lines-of-inner-city-gun-violence-josiah-bates-review,The Nit and Grit of Street Outreach,2024-10-17,Crime;Economy,Community Violence Intervention;Research,book_review,high,Book review examining street outreach and CVI effectiveness through both narrative and research lens; not a standard article but a critical review of Bates' work.,"Crime, Journalism"
yes,from-plantation-prisons-to-the-modern-era,From Plantation Prisons to the Modern Era,2024-10-16,Rikers & jails;Culture,Rikers & jails,article,high,"Historical analysis of Rikers Island jail conditions, reform efforts, and systemic failures — squarely within the Rikers & jails domain; 'Culture' tag should be dropped as the piece's subject is correctional policy and litigation, not cultural commentary.","Persistent Problems Inside, History, Incarceration."
yes,bruce-western-on-the-impact-of-jail-on-the-lives-of-new-yorkers,Bruce Western on the Impact of Jail on the Lives of New Yorkers,2024-10-16,Rikers & jails;Data,Rikers & jails;Research,interview,high,Interview with prominent sociologist about his research on incarceration's impact on Rikers detainees and their life outcomes post-release.,"Persistent Problems Inside, Crime, Social Science"
yes,what-will-new-york-do-to-answer-decades-of-rape-claims-rikers-rosies,What Will New York Do to Answer Decades of Rape Claims?,2024-10-16,Rikers & jails;Culture,Rikers & jails,article,high,"This is an investigative report about systemic sexual abuse at a Rikers Island women's jail facility, directly covering jail conditions and accountability — 'Culture' is over-applied here.","Persistent Problems Inside, Jails, History"
yes,holding-rikers-officers-accountable-an-almost-impossible-task,Holding Rikers Officers Accountable: An Almost Impossible Task,2024-10-16,Rikers & jails;Criminal courts,Rikers & jails,article,high,"The piece focuses on DOC staff accountability mechanisms, consent decree compliance, and internal discipline procedures at Rikers—a core Rikers & jails domain issue; Criminal courts is inapplicable because this is civil/administrative litigation oversight, not case prosecution or sentencing.","Persistent Problems Inside, Jails, Prosecution"
yes,a-snapshot-of-how-unions-forestall-progress-on-jail-conditions,A Snapshot of How Unions Forestall Progress,2024-10-16,Rikers & jails;Governance,Rikers & jails,article,high,"Piece focuses on jail reform implementation (body cameras) and union resistance within the DOC system; Governance is secondary framing device, not the primary subject.","Persistent Problems Inside, Jails, Governance"
yes,hardship-on-top-of-hardship,Hardship on Top of Hardship,2024-10-16,Criminal courts;Governance;Rikers & jails,Criminal courts;Rikers & jails,report,high,"A research report examining how pretrial detention and court processes affect disadvantaged defendants' housing, employment, health, and substance use outcomes.","Justice, Government Operations, Persistent Problems Inside"
yes,a-culture-of-learning-can-defeat-a-culture-of-violence,A Culture of Learning Can Defeat a Culture of Violence,2024-10-16,Health & human services;Governance,Rikers & jails;Public Safety Strategy,article,high,"Piece focuses on jail condition improvements and violence reduction through organizational learning; primarily about jails, secondarily about safety strategy/implementation.","The Way Forward, Public Health, Government Operations"
yes,improving-conditions-on-rikers-island,Improving Conditions on Rikers Island,2024-10-16,Rikers & jails;Criminal courts,Rikers & jails,article,high,"Focused entirely on conditions, violence, and reform inside Rikers Island jails; criminal courts are not substantively addressed.","How Did It Get This Bad?, Jails, Justice"
yes,the-limits-of-litigation-history-of-federal-oversight-at-rikers,The Limits of Litigation,2024-10-16,Culture;Rikers & jails,Rikers & jails,article,high,"Historical analysis of federal litigation and consent decrees at Rikers; core subject is jail oversight and conditions, not the broader culture or history of the city.","History, Jails, How Did It Get This Bad?"
yes,can-a-receiver-bring-enduring-change-for-the-better,Can A Receiver Bring Enduring Change for the Better?,2024-10-16,Rikers & jails;Governance,Rikers & jails,article,high,"The piece is fundamentally about receivership as a governance mechanism for Rikers Island jails; while it touches on governance strategy, the primary subject is jails operations and reform.","The Way Forward, Jails, Government Operations"
yes,can-eric-adams-govern-without-a-government,Can Eric Adams Govern Without a Government?,2024-10-10,Governance,Politics,article,high,"This is a political analysis of Eric Adams' indictment, federal investigations, and ability to govern—core electoral/political accountability issues, not operational governance or criminal courts.","Governance, Government Operations, City Government, Where Do We Go From Here?"
yes,if-eric-adams-does-not-resign-can-he-be-forced-out-of-office-its-complicated,To Remove a Mayor: Both Too Easy and Too Hard,2024-10-10,Governance;Criminal courts,Politics,article,high,"This is a civics/constitutional analysis of mayoral removal and succession, not a criminal courts piece—it's about political accountability and governance structure, not case processing or prosecution.","Where Do We Go From Here?, Government Operations, Prosecution"
yes,eric-adams-legal-headaches-reforming-new-york-travel-expenses-laws,Flights of Fancy,2024-10-10,Culture;Governance,Politics,article,high,Core subject is Eric Adams' federal indictment and corruption charges—a major political scandal involving a sitting NYC mayor.,"Where Do We Go From Here?, History, Government Operations"
yes,an-architect-dissects-francis-ford-coppolas-passion-project-megalopolis,"Towering, Timely and Trite",2024-10-08,Culture;Governance,Culture,article,high,"A film critic's architectural and thematic analysis of Coppola's 'Megalopolis'—substantive arts criticism, not civic policy.","culture, Government Operations, Film & TV"
yes,the-subway-movie-everyone-should-see-pelham-one-two-three,The Subway Movie Everyone Should See,2024-10-02,Culture,Subway,article,high,"A film criticism piece about a classic subway-set movie; the subject is the subway system and its cultural representation, not film criticism broadly.","culture, Sights and Sounds, Film & TV, History"
yes,what-to-do-about-people-struggling-with-serious-mental-illness-on-the-subway-nyc,Psychosis Under Fluorescent Lights,2024-10-02,Crime;Culture,Mental illness;Subway,article,high,"A first-person reflection on serious mental illness (specifically bipolar disorder) as encountered on NYC subway trains, addressing both the civic function of shared transit space and the safety challenges posed by untreated severe mental illness.","Subway Safety, Solutions for Today and Tomorrow, culture, Subway Crime"
yes,expand-the-reach-of-the-subway-system-a-2125-map,What the System Could Become: A 2125 Map,2024-10-02,Culture;Housing,Subway;Transit,article,high,Visionary piece focused on expanding NYC's subway and commuter rail networks; primarily about Subway infrastructure and planning.,"Dreams of the Future, History, City Planning"
yes,subway-ads-through-the-eras,The Hard Sell to Straphangers,2024-10-02,Culture,Subway,article,high,"A historical look at subway advertising through the eras—fundamentally about the subway system and its material culture, not generically about 'culture' or museums.","culture, Sights and Sounds, History, Museums"
yes,hate-the-mta-beware-the-alternatives,Hate the MTA? Beware the Alternatives,2024-10-02,Governance,Subway;Governance,article,high,Core argument about MTA governance structure and whether municipal control would improve transit outcomes; fundamentally a governance debate about subway operations.,"Solutions for Today and Tomorrow, City Government, State Government"
yes,riding-while-female-a-safer-subway-for-women-too,Riding While Female,2024-10-02,Crime;Race,Subway;Crime Data,article,high,"The piece analyzes sex-based crimes on the subway using statistical data and historical context, combining transit-specific safety concerns with crime data reporting.","What Doesn’t Work, Subway Crime, Gender"
yes,why-are-new-york-transit-expenses-so-high-history-of-politics,The Cost Containment Conundrum,2024-10-02,Transit;Governance,Subway;Politics,article,high,Piece examines MTA subway funding and modernization through the lens of Albany politics and the congestion pricing pause—core transit infrastructure tied to political decision-making.,"What Doesn’t Work, Transit, Budget"
yes,the-public-square-subways,The Public Square,2024-10-02,Subway;Culture,Subway;Traffic enforcement,article,high,Piece examines the subway as political/cultural space and debates congestion pricing's governance and funding implications.,"Why the Trains Matter, culture, History"
yes,waiting-for-the-elevators-mta-long-road-to-accessible-wheelchair-system,Waiting for the Elevators,2024-10-02,Crime;Transit,Subway;Housing,article,medium,"Core subject is subway accessibility and elevator infrastructure; Housing captures the built-environment/infrastructure angle, though this is primarily a Subway piece about ADA compliance and transit equity.","What Doesn’t Work, Subway Crime, Infrastructure"
yes,the-four-forces-that-have-shaped-the-subway-system,The Four Forces That Have Shaped the System,2024-10-02,Subway;Housing;Culture,Subway,article,high,"A historical analysis of New York's subway system expansion plans and the governance/funding forces that shaped actual development—firmly in Subway domain, not the catch-all Transit.","Why the Trains Matter, City Planning, History"
yes,without-a-better-bus-network-the-citys-public-transportation-system-will-fail-people,"The Humble, Indispensable Bus",2024-10-02,Culture;Transit,Buses,article,high,Personal narrative and policy analysis focused specifically on New York City bus network adequacy and ridership; 'Buses' is its own domain distinct from generic Transit.,"What Doesn’t Work, History, Transit"
yes,the-45-minute-city,The 45-Minute City,2024-10-02,Subway;Housing;Governance,Subway;Public Space,article,high,Core argument is that robust subway transit (not just 15-minute walkability) enables citywide opportunity and access to specialized services; secondarily about urban design and the public realm it enables.,"Why the Trains Matter, City Planning, Quality of Life"
