author,post_count,primary_background,secondary_backgrounds,confidence,source_type,source_url,bio,notes
Robert Polner,2,journalist/media,government/public sector; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/polner-robert/,"is a public affairs officer at NYU and former reporter for New York Newsday. He is the co-author of ""An Irish Passion for Justice,"" a biography of Mayor William O’Dwyer’s younger brother Paul, the New York politician, activist and lawyer (1907-1998).",matched Vital City bio keywords
Roderick Hills,2,academic,government/public sector; attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/hills-roderick/,"is the William T. Comfort III Professor of Law at NYU Law School, where he teaches and writes about constitutional law, administrative law, local government law and federalism.",matched Vital City bio keywords
Rose Gill,2,government/public sector,attorney/lawyer; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/gill-rose/,is principal of the municipal integrity team at Bloomberg Associates. She is former NYC Department of Investigation commissioner and founder of the Center for the Advancement of Public Integrity at Columbia Law School.,matched Vital City bio keywords
Sean Campion,2,government/public sector,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/campion-sean/,"is director of housing and economic development studies at the Citizens Budget Commission, which focuses on constructive change in New York City and New York State government finances and services.",matched Vital City bio keywords
Stephen Smith,2,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/stephen/,is executive director of the Center for Building in North America. He lives in Brooklyn.,matched Vital City bio keywords
Stijn Van Nieuwerburgh,2,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/van-nieuwerburgh-stijn/,is the E. Kazis and B. Schore Professor of Real Estate at Columbia Business School.,matched Vital City bio keywords
Tracey L. Meares,2,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/meares-tracey-l/,is the Walton Hale Hamilton Professor and founding director of the Justice Collaboratory at Yale Law School. She was previously a professor at the University of Chicago Law School.,matched Vital City bio keywords
Wendell Jamieson,2,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/jamieson-wendell/,"is a former Metro editor of The New York Times and co-author, with Joshua A. Miele, of ""Connecting Dots: A Blind Life.""",matched Vital City bio keywords
Yonah Freemark,2,planner/policy,,high,vital_city_bio,https://www.vitalcitynyc.org/author/freemark-yonah/,"is the lead of the Urban Institute’s Practice Area on Fair Housing, Land Use and Transportation. He has been conducting research on transportation planning for 15 years.",matched Vital City bio keywords
A Photo Essay,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/a-photo-essay/,,no Vital City bio
Aaron M. Pallas,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/pallas-aaron-m/,"is Arthur I. Gates Professor of Sociology and Education at Teachers College, Columbia University.",matched Vital City bio keywords
Aaron Stagoff,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/aaron-stagoff/,is a Sociology PhD Student at the University of Chicago and a National Science Foundation Graduate Research Fellow who studies the governance of policing and public safety in cities.,matched Vital City bio keywords
Abdul Nasser Rad,1,academic,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/rad-abdul-nasser/,"is an applied public safety researcher. He holds an MPhil and doctorate in sociology from Oxford University and has extensive experience working on public safety in government and nonprofits, designing research products for policymakers.",matched Vital City bio keywords
Adam Cohen,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/cohen-adam/,"is author of “Nothing to Fear: FDR's Inner Circle and the Hundred Days That Created Modern America.""",bio present but no rule hit
Adam Gelb,1,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/gelb-adam/,is the president and CEO of the Council on Criminal Justice.,matched Vital City bio keywords
Alden McCollum,1,government/public sector,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/mccollum-alden/,is a Ph.D. student in NYU’s linguistics department.,matched Vital City bio keywords
Alex Armlovich,1,planner/policy,,high,vital_city_bio,https://www.vitalcitynyc.org/author/armlovich-alex/,is a senior housing policy analyst at the Niskanen Center and a member of the Rent Guidelines Board.,matched Vital City bio keywords
Alex Tabarrok,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/tabarrok-alex/,is the Bartley J. Madden Chair in Economics at the Mercatus Center and a professor of economics at George Mason University.,matched Vital City bio keywords
Alicia Glen,1,government/public sector,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/glen-alicia/,"is the founder and managing principal at MSquared, an investment and development firm. She served as deputy mayor for housing and economic development under Mayor Bill de Blasio.",matched Vital City bio keywords
Alicia Modestino,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/modestino-alicia/,"is the executive director of Community to Community, a new research initiative at Northeastern University that uses data and analysis to design, implement and evaluate urban public policies.",matched Vital City bio keywords
Alisabeth Marsteller,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/marsteller-alisabeth/,is a pre-doctoral research associate at Princeton University.,bio present but no rule hit
Alyssa Katz,1,journalist/media,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/katz-alyssa/,is executive editor of THE CITY and a former member of the New York Daily News editorial board. She is the author of works on corporate influence and real estate.,matched Vital City bio keywords
Amy Chester,1,government/public sector,,high,vital_city_bio,https://www.vitalcitynyc.org/author/chester-amy/,is the managing director of Rebuild by Design. She worked for Mayor Michael Bloomberg as chief of staff to the deputy mayor for legislative affairs and as a senior policy advisor.,matched Vital City bio keywords
An expert roundtable,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/an-expert-roundtable/,,no Vital City bio
Andrew C. McKevitt,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/mckevitt-andrew-c/,"is the John D. Winters Endowed Professor of History at Louisiana Tech University. His most recent book is ""Gun Country: Gun Capitalism, Culture, and Control in Cold War America.""",matched Vital City bio keywords
Andrew Rein,1,nonprofit/advocacy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/rein-andrew/,is president of the Citizens Budget Commission.,matched Vital City bio keywords
Andrew V. Papachristos,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/papachristos-andrew-v/,"is the John G. Searle Professor of Sociology, the director of the Institute for Policy Research and the faculty director of the Center for Neighborhood Engaged Research & Science at Northwestern University.",matched Vital City bio keywords
Angela Hawken,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/hawken-angela/,"is professor of public policy at New York University and director of the Marron Institute of Urban Management, where she also leads the Litmus Program.",matched Vital City bio keywords
Anjulie Rao,1,academic,journalist/media,high,vital_city_bio,https://www.vitalcitynyc.org/author/rao-anjulie/,is a freelance journalist who writes about the built environment. She is a lecturer at the School of the Art Institute of Chicago.,matched Vital City bio keywords
Annemarie Gray,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/gray-annemarie/,"is executive director of Open New York, New York’s leading grassroots prohousing nonprofit advocacy organization.",matched Vital City bio keywords
Annemarie H. Sammartino,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/sammartino-annemarie-h/,"is a professor of History at Oberlin College and the author of ""Freedomland: Co-op City and the Story of New York.""",matched Vital City bio keywords
Anthony Flint,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/flint-anthony/,"is a senior fellow at the Lincoln Institute of Land Policy in Cambridge, Massachusetts.",bio present but no rule hit
Anthony Townsend,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/townsend-anthony/,"is a senior research associate at Cornell Tech’s Jacobs Urban Tech Hub, and the author of ""Smart Cities: Big Data, Civic Hackers, and the Quest for a New Utopia"" and ""Ghost Road: Beyond the Driverless Car.""",bio present but no rule hit
Aubrey Fox,1,journalist/media,government/public sector; nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/fox-aubrey/,"is the executive director of the New York City Criminal Justice Agency, the city’s main pretrial services and research agency. He is co-author, with Vital City co-editor Greg Berman, of the book ""Gradual.""",matched Vital City bio keywords
Avi Schick,1,nonprofit/advocacy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/schick-avi/,"is a partner at Faegre Drinker and previously served as president of the Empire State Development Corporation, New York’s economic and real estate development arm.",matched Vital City bio keywords
Bahij Chancey,1,planner/policy,nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/chancey-bahij/,"is an urban planner. He has served on the board of Transportation Alternatives and as a public member of Brooklyn Community Board Six, and is a founding organizer of Mechanical Gardens Bike Co-Op.",matched Vital City bio keywords
"Barry B. Perlman, MD",1,nonprofit/advocacy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/perlman-barry-b/,(retired) was director of psychiatry at St. Joseph's Medical Center in Yonkers. He served as past president of the New York State Psychiatric Association and past chair of the State Mental Health Services Council.,matched Vital City bio keywords
Basaime Spate,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/spate-basaime/,is the community-based research coordinator at the Center for Court Innovation.,bio present but no rule hit
Bea de la Torre,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/de-la-torre-bea/,is Chief Philanthropy Officer at Trinity Church Wall Street.,bio present but no rule hit
Ben Furnas,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/furnas-ben/,is the executive director of The 2030 Project: A Cornell Climate Initiative.,matched Vital City bio keywords
Ben Hitchcock,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/hitchcock-ben/,is a Master’s of Public Administration student at NYU and a research assistant at the NYU Furman Center for Real Estate and Urban Policy.,bio present but no rule hit
Ben Krauss,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/krauss-ben/,is the editorial assistant at Slow Boring.,bio present but no rule hit
Ben Struhl,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/struhl-ben/,"is the executive director of the University of Pennsylvania Crime and Justice Policy Lab, and directed UPenn’s efforts to provide technical assistance to Baltimore to implement its Group Violence Reduction Strategy.",matched Vital City bio keywords
Benjamin Miller,1,government/public sector,planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/miller-benjamin/,"is the former director of policy planning for the city’s Department of Sanitation and author of ""Fat of the Land: Garbage of New York — The Last 200 Years.""",matched Vital City bio keywords
Benjamin Soskis,1,academic,journalist/media,high,vital_city_bio,https://www.vitalcitynyc.org/author/soskis-benjamin/,"is a senior research associate in the Urban Institute’s Center on Nonprofits and Philanthropy and the co-editor of HistPhil. In 2025, he will be a visiting scholar at Independent Sector.",matched Vital City bio keywords
Betsy Plum,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/plum-betsy/,"is the executive director of Riders Alliance, New York City’s grassroots organization of public transit riders. Before joining Riders Alliance, she served as the vice president of policy for the New York Immigration Coalition.",matched Vital City bio keywords
Bob Eckstein,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/eckstein-bob/,"is a humorist, New Yorker cartoonist and author of books including ""The Illustrated History of the Snowman,"" ""Footnotes from the World's Greatest Bookstores"" and ""Footnotes from the Most Fascinating Museums.""",bio present but no rule hit
Bobbito Garcia,1,artist/culture,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/garcia-bobbito/,"is a DJ, author and filmmaker.",matched Vital City bio keywords
Bradley Honan,1,nonprofit/advocacy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/honan-bradley/,is a partner at the Democratic polling and data analytics firm Honan Strategy Group and co-president of the New York Metro Chapter of the American Association of Political Consultants.,matched Vital City bio keywords
Brendan O'Flaherty,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/oflaherty-brendan/,is a professor of economics at Columbia University.,matched Vital City bio keywords
Brenden Beck,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/brenden-beck/,"is an associate professor in the School of Criminal Justice at Rutgers University studying policing, city budgets, and housing.",matched Vital City bio keywords
Brian DeLay,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/delay-brian/,"is Preston Hotchkis Chair in the History of the United States at the University of California, Berkeley, author of “The Myth of Continuity in American Gun Culture,” and the 2025–2026 Lillian Gollay Knafel Fellow at Harvard Radcliffe Institute.",bio present but no rule hit
Brian Stettin,1,government/public sector,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/stettin-brian/,is senior advisor on severe mental illness for Mayor Eric Adams.,matched Vital City bio keywords
Bridget G. Brennan,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/brennan-bridget-g/,"is the special narcotics prosecutor of New York City, a role she has held since 1998.",matched Vital City bio keywords
Brie Williams,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/williams-brie/,is a professor of medicine in the Division of Health Equity & Society in the University of California San Francisco School of Medicine. She is the founding director of Amend at UCSF.,matched Vital City bio keywords
Candice C. Jones,1,government/public sector,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/jones-candice-c/,"is president and CEO of the Public Welfare Foundation, an endowment fund for criminal justice reform. She is a former White House fellow and past director of the Illinois Department of Juvenile Justice.",matched Vital City bio keywords
Carlina Rivera,1,government/public sector,planner/policy; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/rivera-carlina/,is president and CEO of the New York State Association for Affordable Housing. She has over a decade of experience in housing policy and previously represented the East Village as a City Council member for District 2.,matched Vital City bio keywords
Carlo Ratti,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/ratti-carlo/,"is teaching at the Massachusetts Institute of Technology, where he directs the Senseable City Lab.",bio present but no rule hit
Carol Goodstein,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/goodstein-carol/,is a writer and communications consultant for nonprofits.,matched Vital City bio keywords
Caryl Englander,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/englander-caryl/,"is chair of the board of the International Center of Photography and chair of the Sanitation Foundation Board, which recently launched the ""Don't Do NYC Dirty"" campaign.",bio present but no rule hit
Catherine Vaughan,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/catherine/,is executive director of Abundance New York.,matched Vital City bio keywords
Chandler Hall,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/hall-chandler/,is associate director for gun violence prevention at the Center for American Progress. He previously worked for the University of Chicago Urban Labs researching cognitive behavioral therapy in violence prevention.,bio present but no rule hit
Charles Brecher,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/brechner-charles/,is professor emeritus at NYU’s Wagner School and research director emeritus at the Citizens Budget Commission.,matched Vital City bio keywords
Charles Buckhanan,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/buckhanan-charles/,"is a street outreach worker on Chicago’s West Side, where he supports street-involved youth in turning their lives around. A justice-impacted former gang member, he draws on his own lived experience to help young people choose a different path.",bio present but no rule hit
Chloe Gibbs,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/gibbs-chloe/,is an assistant professor of economics at the University of Notre Dame and director of the Graduate Program for Interdisciplinary Educational Research. She was a senior economist with the President's Council of Economic Advisers.,matched Vital City bio keywords
Chris Coffey,1,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/coffey-chris/,"is the CEO of Tusk Strategies. Before Tusk, Chris worked for Mike Bloomberg for twelve years in leading roles in his administrations and campaigns.",matched Vital City bio keywords
Chris Marvin,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/marvin-chris/,is a former U.S. Army Black Hawk helicopter pilot and combat-wounded veteran of the war in Afghanistan. He is a gun violence prevention advocate.,bio present but no rule hit
Christopher Edley III,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/edley-christopher-iii/,"is the director of strategy at Design for Progress. His background is in politics, community organizing and spatial design.",bio present but no rule hit
Claire Dunning,1,academic,nonprofit/advocacy,high,vital_city_bio,https://www.vitalcitynyc.org/author/dunning-claire/,"is a historian and associate professor at the University of Maryland School of Public Policy. She is the author of ""Nonprofit Neighborhoods: An Urban History of Inequality and the American State.""",matched Vital City bio keywords
Clara Hemphill,1,journalist/media,,high,vital_city_bio,https://www.vitalcitynyc.org/author/hemphill-clara/,is founding editor of InsideSchools.org and a journalist and parent advocate who has helped New York City parents navigate school choice.,matched Vital City bio keywords
Clare Miflin,1,architect/designer,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/miflin-clare/,is an architect and the founder of the Center for Zero Waste Design.,matched Vital City bio keywords
Craig Gurian,1,attorney/lawyer,nonprofit/advocacy; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/gurian-craig/,is executive director of the Anti-Discrimination Center. He sued Westchester County for failing to affirmatively further fair housing and was lead counsel in a fair housing case challenging NYC's housing lottery practices.,matched Vital City bio keywords
Cyrus Ahalt,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/ahalt-cyrus/,"is chief program officer for Amend at UCSF, an academic center that develops, deploys and evaluates novel interventions aimed at transforming U.S. prisons into centers for health, healing and rehabilitation.",bio present but no rule hit
Cyrus Smith,1,planner/policy,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/smith-cyrus/,is a policy advisor at Brownsville Think Tank Matters.,matched Vital City bio keywords
Daliah Heller,1,government/public sector,,high,vital_city_bio,https://www.vitalcitynyc.org/author/heller-daliah/,"is former assistant commissioner for the Bureau of Alcohol and Drug Use Prevention, Care and Treatment at the New York City Department of Health and Mental Hygiene.",matched Vital City bio keywords
Dana Kaplan,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/kaplan-dana/,is director of justice reform at the National Institute for Criminal Justice Reform and senior advisor to the Independent Rikers Commission. She coordinated NYC's plan to close Rikers from 2014-2022.,bio present but no rule hit
Daniel Ades,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/ades-daniel/,is the director of New York legal policy at the Center for Justice Innovation.,matched Vital City bio keywords
Daniel DiSalvo,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/disalvo-daniel/,is a professor of political science at the City College of New York-CUNY and a senior fellow at the Manhattan Institute.,matched Vital City bio keywords
Daniel Garodnick,1,government/public sector,planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/garodnick-daniel/,is the director of the New York City Department of City Planning.,matched Vital City bio keywords
Daniel Richman,1,attorney/lawyer,academic,high,vital_city_bio,https://www.vitalcitynyc.org/author/richman-daniel/,is a former federal prosecutor in the U.S. Attorney’s Office for the Southern District of New York and the current Paul J. Kellner Professor of Law at Columbia Law School,matched Vital City bio keywords
Daniel Semenza,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/semenza-daniel/,"is an associate professor at Rutgers University and director of research at the New Jersey Gun Violence Research Center. His work has been published in leading criminology, public health and medical journals.",matched Vital City bio keywords
Daniel Stid,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/stid-daniel/,"is a nonresident senior fellow at the American Enterprise Institute, where he writes about questions related to civil society, philanthropy and governance.",bio present but no rule hit
Darcel Clark,1,attorney/lawyer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/clark-darcel/,is the Bronx's district attorney.,matched Vital City bio keywords
Darshana Narayanan,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/narayanan-darshan/,,no Vital City bio
David Banks,1,government/public sector,,high,vital_city_bio,https://www.vitalcitynyc.org/author/banks-david/,is the former chancellor of the New York City Department of Education.,matched Vital City bio keywords
David Bloomfield,1,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/bloomfield-david/,"is a professor of education leadership, law and policy at Brooklyn College and The CUNY Graduate Center. He was general counsel to the New York City Board of Education prior to mayoral control.",matched Vital City bio keywords
David Brawley,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/brawley-david/,"is the co-chair of Metro Industrial Areas Foundation, a New York City community organizing group, and senior pastor of St. Paul Community Baptist Church.",bio present but no rule hit
David Cay Johnston,1,academic,journalist/media,high,vital_city_bio,https://www.vitalcitynyc.org/author/johnston-david-cay/,"is a Pulitzer Prize-winning investigative reporter and bestselling author. He is also a professor of practice teaching journalism, law and public policy at Rochester Institute of Technology.",matched Vital City bio keywords
David Courtwright,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/courtwright-david/,"is presidential professor emeritus at the University of North Florida. Since 2018, he has served as an expert consultant in the national prescription opioid litigation.",matched Vital City bio keywords
David Gurin,1,planner/policy,government/public sector; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/gurin-david/,"is a city planner. He was a deputy commissioner of transportation in the Koch administration and, later, planning commissioner for Metropolitan Toronto. He was a founder of Transportation Alternatives.",matched Vital City bio keywords
David Jernigan,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/jernigan-david/,"is a professor of health law, policy and management at Boston University’s School of Public Health, where he serves as assistant dean for public health practice.",matched Vital City bio keywords
David Kemper,1,business/finance,,high,vital_city_bio,https://www.vitalcitynyc.org/author/kemper-david/,is the co-founder and CEO of Trust Neighborhoods.,matched Vital City bio keywords
David Reiss,1,academic,attorney/lawyer,high,vital_city_bio,https://www.vitalcitynyc.org/author/david/,is a clinical professor of law at Cornell Law School and Cornell Tech and was chair of the Rent Guidelines Board from 2019 to 2023.,matched Vital City bio keywords
David Vega-Barachowitz,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/vega-barachowitz-david/,is associate principal and director of urban design at WXY studio. He is former director of designing cities at NACTO and co-author of urban street design guides.,bio present but no rule hit
David Woloch,1,business/finance,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/woloch-david/,is the former executive vice president for external affairs at the Brooklyn Public Library.,matched Vital City bio keywords
Deborah Marton,1,nonprofit/advocacy,government/public sector; business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/marton-deborah/,"is a commissioner with the New York City Public Design Commission. She serves as executive director of Van Alen Institute, an independent nonprofit working to create equitable cities through inclusive design.",matched Vital City bio keywords
Diomand A. Henry,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/henry-diomand-a/,is a doctoral student in criminology and criminal justice at the University of Maryland.,matched Vital City bio keywords
Don Levy,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/levy-don/,is director of the Siena College Research Institute.,bio present but no rule hit
Doug Bauer,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/bauer-doug/,is executive director of the Clark and Scriven Foundations and teaches philanthropy at Columbia Business School and the University of Pennsylvania.,matched Vital City bio keywords
Drew Skinner,1,attorney/lawyer,government/public sector,high,vital_city_bio,https://www.vitalcitynyc.org/author/skinner-drew/,"is a former federal prosecutor. Until June 2023, he was co-chief of the Violent & Organized Crime Unit in the United States Attorney’s Office for the Southern District of New York.",matched Vital City bio keywords
Eddie Palka,1,academic,architect/designer,high,vital_city_bio,https://www.vitalcitynyc.org/author/palka-eddie/,"is a practicing architect, an adjunct assistant professor at Columbia University, and an associate research scholar at the school’s Housing Lab. He is a senior research fellow at the NYIT Center for Offsite Construction.",matched Vital City bio keywords
Eli Dvorkin,1,government/public sector,planner/policy,high,vital_city_bio,https://www.vitalcitynyc.org/author/dvorkin-eli/,"is editorial and policy director of the Center for an Urban Future, which is a think tank focused on creating a stronger and more inclusive economy in New York, and expanding economic opportunity for all New Yorkers.",matched Vital City bio keywords
Elif Ensari,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/ensari-elif/,"is a researcher at the Marron Institute of Urban Management, NYU.",matched Vital City bio keywords
Elisabeth Zeche,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/zeche-elisabeth/,is a partner at Honan Strategy Group.,bio present but no rule hit
Emily Drabinski,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/drabinski-emily/,is an associate professor and critical pedagogy librarian at the CUNY Graduate Center. She is president-elect of the American Library Association.,matched Vital City bio keywords
Emily Nobel Maxwell,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/maxwell-emily-nobel/,"is the director of The Nature Conservancy’s Cities Program in New York and author of the ""State of the Urban Forest in NYC."" She helps lead Forest for All NYC.",bio present but no rule hit
Eric L. Piza,1,academic,,high,vital_city_bio,https://www.vitalcitynyc.org/author/piza-eric-l/,is a professor of criminology and criminal justice and director of crime analysis initiatives at Northeastern University,matched Vital City bio keywords
Erwin Chemerinsky,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/chemerinsky-erwin/,"is the dean of the UC Berkeley School of Law, where he also serves as Jesse H. Choper Distinguished Professor of Law. He is the author of “Worse than Nothing: The Dangerous Fallacy of Originalism.”",matched Vital City bio keywords
Eve Kessler,1,journalist/media,,high,vital_city_bio,https://www.vitalcitynyc.org/author/kessler-eve/,is a longtime journalist who lives in the Bronx. She was the community editor of StreetsblogNYC from 2019 to 2022.,matched Vital City bio keywords
Felipe De La Hoz,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/de-la-hoz-felipe/,is an investigative and explanatory reporter focusing on immigration in the U.S.,matched Vital City bio keywords
Francis Sacr,1,nonprofit/advocacy,business/finance,high,vital_city_bio,https://www.vitalcitynyc.org/author/sacr-francis/,is an independent infrastructure consultant. He served as interim chief financial officer and executive director of the Gateway Development Corporation.,matched Vital City bio keywords
Frank Greene,1,architect/designer,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/greene-frank/,is a New York City-based architect with more than 40 years of experience in the justice industry. He is a leader in the courts and corrections field across North America.,matched Vital City bio keywords
Gabe Paley,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/paley-gabe/,is part of the Recoding America Fund. He recently served as assistant secretary for technology under Governor Kathy Hochul.,bio present but no rule hit
Gabriel S. Tennen,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/tennen-gabriel-s/,is a teacher at Baruch College.,bio present but no rule hit
Georgia Levenson Keohane,1,business/finance,journalist/media,high,vital_city_bio,https://www.vitalcitynyc.org/author/keohane-georgia-levenson/,is CEO of the Soros Economic Development Fund and host of the Capital for Good podcast at Columbia Business School. She is an author on social entrepreneurship and innovative finance.,matched Vital City bio keywords
Gersh Kuntzman,1,journalist/media,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/kuntzman-gersh/,"is the editor of Streetsblog NYC, which focuses on transit, street safety and public space.",matched Vital City bio keywords
Greg Lickenbrock,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/lickenbrock-greg/,"is the senior firearms analyst at Everytown for Gun Safety, where he uses his experience in the gun industry to support policy, education and public safety initiatives.",bio present but no rule hit
Hana Schank,1,academic,journalist/media,high,vital_city_bio,https://www.vitalcitynyc.org/author/schank-hana/,"is a writer, researcher and technologist. She was most recently a senior advisor for public interest technology at New America.",matched Vital City bio keywords
Harold Pollack,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/pollack-harold/,"is the Helen Ross Professor at the University of Chicago’s Crown Family School of Social Work, Policy and Practice.",matched Vital City bio keywords
Howard Husock,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/husock-howard/,"is a senior fellow at the American Enterprise Institute and the author of the new book ""The Projects: A New History of Public Housing.""",bio present but no rule hit
Jack Rakove,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/rakove-jack/,"is the William Robertson Coe Professor of History and American Studies, emeritus, at Stanford University. His book won the Pulitzer Prize in history for its analysis of the Constitution.",matched Vital City bio keywords
Jaclyn Davis,1,academic,,medium,vital_city_bio,https://www.vitalcitynyc.org/author/davis-jaclyn/,is a postdoctoral research scholar at the Columbia University Justice Lab studying inequality and local justice systems.,matched Vital City bio keywords
Jacob Dugopolski,1,unknown,,low,vital_city_bio,https://www.vitalcitynyc.org/author/dugopolski-jacob/,is an associate principal at WXY Studio.,bio present but no rule hit
